name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
The Canteen,133830,57,Nayapalli,3.5,"['North Indian', 'Chinese', 'Biryani']",25000,50,50,50,Nayapalli,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Biryani 247,76134,57,Old BBSR,4.2,['Biryani'],25000,50,50,50,Near Chcolate house,,,,2700,
Wings And Burger,215431,57,Patia,4.3,"['American', 'Continental', 'Fast Food']",30000,50,50,50,Patia,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Crazy Burger,83405,57,Patia,4.3,"['Fast Food', 'American']",15000,50,50,50,Near UMA Drug House,30% off on all orders,Percentage,RESTAURANT,0,
MUNGERI DHABA,337448,57,Patia,4.6,"['North Indian', 'Chinese', 'Mughlai']",20000,50,50,50,Patia,40% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
FITTREAT,263523,57,Patia,--,"['Snacks', 'Continental', 'Juices']",20000,50,50,50,Patia,30% off on all orders,Percentage,RESTAURANT,3200,
Biryani Express,318352,57,Patia,--,"['Biryani', 'Indian']",30000,50,50,50,Patia,,,,3200,
The Golden Spoon,244138,57,Patia,--,"['Biryani', 'Chinese', 'Indian']",40000,50,50,50,Kalarahanga,50% off | Use SWIGGYIT,Percentage,RESTAURANT,3700,
Videsi Cafe,315605,57,Patia,3.3,"['Biryani', 'Chinese', 'Combo']",20000,51,51,51,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Seasoning Kitchen,133354,57,Chandrashekarpur,3.9,"['Indian', 'Chinese', 'Tandoor', 'Continental']",25000,51,51,51,Chandrashekarpur,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,
Victoria Oriental & Thai Restaurant,81806,57,Nayapalli,4,"['Indian', 'Chinese', 'Tandoor']",45000,51,51,51,CRP Square,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Baskin Robbins,111281,57,Rasulgarh,4.3,"['Desserts', 'Ice Cream']",20000,51,51,51,Forum Esplanade Mall,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
Fresh Box,237586,57,Patia,4.4,"['Beverages', 'Desserts', 'Indian', 'Chinese', 'Tibetan']",20000,51,51,51,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
AAHARAM Restaurant,264324,57,Sahid Nagar,--,"['Chinese', 'Indian']",25000,51,51,51,Sahid Nagar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
MAHAVEER MULTICUISINE RESTAURANT & SWEETS,341847,57,Patia,--,"['Tandoor', 'Indian', 'Chinese']",20000,51,51,51,Patia,,,,3200,
Gingerly,321337,57,Khandagiri,--,"['Chinese', 'Indian', 'Italian']",25000,51,51,51,Khandagiri,,,,3700,
Mad Moose,71141,57,Patia,3.5,"['Ice Cream', 'Desserts']",20000,52,52,52,"KIIT Road, Opposite OEU Tower",Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,
Chandini Food Magic,159288,57,Patia,3.8,"['North Indian', 'Fast Food', 'Biryani']",20000,52,52,52,Sai Vihar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Food Gallery,94952,57,Rasulgarh,4,"['Indian', 'Chinese']",15000,52,52,52,Rasulgarh,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Wow! China by Wow! Momo,252049,57,Patia,4,"['Tibetan', 'Fast Food', 'Chinese', 'Snacks', 'Continental', 'Desserts']",30000,52,52,52,Infocity,50% off | Use SPECIALS,Percentage,RESTAURANT,3200,
HUNGRY AND THE THIRSTY,304694,57,Patia,4.3,"['Indian', 'Chinese']",20000,52,52,52,Patia,40% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
Waffle Bites,71137,57,Patia,4.5,['Desserts'],40000,52,52,52,Near Axis Bank,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
TASTY ROYAL FOOD,327358,57,Patia,--,"['Chinese', 'North Indian', 'Biryani']",20000,52,52,52,Patia,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
BHONSOR KAKA,326886,57,Khandagiri,--,"['Chinese', 'Indian']",20000,52,52,52,Khandagiri,,,,3700,
3Q Restaurant,75634,57,Nayapalli,3.7,"['Indian', 'Chinese', 'Tandoor']",20000,53,53,53,Near Hotel Presidency,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
Sardar Ji Restaurant,71240,57,Patia,4,"['Indian', 'North Indian', 'Biryani']",20000,53,53,53,Near SBI E-Corner,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Chili's American Grill & Bar,94911,57,Sahid Nagar,4.1,"['American', 'Salads', 'Mexican', 'Italian', 'Steakhouse']",90000,53,53,53,Esplanade ONE,,,,2700,
"ODIA	HANDISHALA",307724,57,Khandagiri,4.1,['Indian'],20000,53,53,53,Khandagiri,,,,3700,
Golden Plate,249232,57,Chandrashekarpur,3.2,['Indian'],15000,54,54,54,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
BURNT INDIAN CLOUD KITCHEN,298512,57,Patia,3.9,"['Chinese', 'Indian', 'Barbecue']",30000,54,54,54,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Wow! China by Wow! Momo,252049,57,Patia,4,"['Tibetan', 'Fast Food', 'Chinese', 'Snacks', 'Continental', 'Desserts']",30000,54,54,54,Infocity,50% off | Use SPECIALS,Percentage,RESTAURANT,3200,
MUGHLAI ZAIKA,309432,57,Khandagiri,--,"['Chinese', 'Indian']",20000,54,54,54,Khandagiri,,,,4500,
The Indian Samosa,250627,57,Patia,3.6,"['Beverages', 'Fast Food', 'Snacks', 'South Indian']",20000,55,55,55,Patia,,,,3200,
Red Chilly Fast Food,74115,57,Patia,4.1,"['Indian', 'Chinese']",20000,55,55,55,Infocity Ave,40% off on all orders,Percentage,RESTAURANT,3200,
Adda Unplugged,71139,57,Patia,4.2,"['Biryani', 'Hyderabadi', 'Indian', 'Chinese', 'Mexican', 'Italian', 'Continental', 'Beverages']",40000,55,55,55,KIIT Road,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
FIRANGI TADKA,280052,57,Khandagiri,--,['North Indian'],25000,55,55,55,Khandagiri,,,,3700,
Kruti Coffee,71778,57,Patia,4.1,"['Continental', 'Italian', 'Beverages']",25000,56,56,56,"Nandankanan Road, Near HP Petrol Pump",40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
