name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link,slug
XO Belgian Waffle,79027,1,HSR,4.3,['Desserts'],25000,29,29,29,HSR Layout,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,,xo-belgian-waffle-hbr-layout-kammanahallikalyan-nagar
Singh Da Pind,294144,1,HSR,4.1,"['Punjabi', 'North Indian', 'Chinese', 'Mughlai']",40000,30,30,30,HSR Layout,30% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,,singh-da-pind-kudlu-gate-kudlu-gate
Only Maggi,196037,1,HSR,--,"['Fast Food', 'North Indian']",20000,24,24,24,SOMASANDARA PALYA,,,,4000,,only-maggi-rajarajeshwari-nagar-rajarajeshwari-nagar
WarmOven Cake & Desserts,27996,1,HSR,4.2,"['Bakery', 'Desserts', 'Ice Cream']",20000,32,32,32,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,0,,warm-oven-hsr-hsr
The Biryani Experiment,219721,1,HSR,3.9,"['Mughlai', 'Biryani']",50000,34,34,34,"Link Rd, BDA Layout",40% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,,isfahani-biryani-link-rd-bda-layout-hsr
Vijayawada Style,157341,1,Electronic City,2.9,['Indian'],36000,37,37,37,"electronics city, Phase 2",30% off on orders above ₹189,Percentage,RESTAURANT,4000,,vijayawada-style-banaswadi
Yumlane Pizza,118541,1,Bellandur Sarjapur,3.8,"['Pizzas', 'Desserts', 'Ice Cream', 'Beverages', 'Italian']",30000,33,33,33,Kasavanahalli,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,,yumlane-pizza-kasavanahalli-bellandursarjapur
Gulpp,305857,1,HSR,--,"['Beverages', 'Desserts']",15000,25,25,25,"Link Rd, BDA Layout",,,,4000,,beverages-shakes-link-rd-bda-layout-hsr
The Daily Diner,305833,1,HSR,3.8,"['North Indian', 'Indian', 'Beverages', 'Home Food', 'Combo', 'Healthy Food', 'South Indian']",25000,41,41,41,"Link Rd, BDA Layout",50% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,,paratha-combo-link-rd-bda-layout-hsr
Kaati Zone Rolls and Wraps,76251,1,HSR,4.4,"['Fast Food', 'Beverages', 'Bengali', 'Biryani', 'Indian', 'North Indian', 'Snacks', 'Street Food', 'Healthy Food']",15000,31,31,31,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,0,,kz-mini-rolls-koramangala-1-koramangala
Domino's Pizza,49668,1,Bangalore,4.3,['Pizzas'],40000,45,45,45,Haralur Village,40% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,,dominos-pizza-haralur-village-bellandursarjapur
Khichdi Experiment,184156,1,HSR,4.4,"['Home Food', 'Healthy Food', 'Indian']",25000,31,31,31,"Link Rd, BDA Layout",50% off | Use SPECIALS,Percentage,RESTAURANT,4000,,khichidi-experiment-27th-main-hsr-layout-hsr
Dock Frost'd,262070,1,Bellandur Sarjapur,4.4,"['Desserts', 'Ice Cream', 'Beverages']",30000,41,41,41,Bellandur Sarjapur,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,,dock-frost'd-bellandur-sarjapur-bellandur-sarjapur
Paratha Experiment,254868,1,HSR,4.2,"['North Indian', 'Punjabi']",20000,32,32,32,"Link Rd, BDA Layout",60% off | Use DEAL60,Percentage,RESTAURANT,4000,,paratha-experiment-link-rd-bda-layout-hsr
Bowlsome,219699,1,HSR,4.4,"['Indian', 'North Indian', 'Desserts']",25000,28,28,28,"Link Rd, BDA Layout",60% off | Use DEAL60,Percentage,RESTAURANT,4000,,bowlsome-link-rd-bda-layout-hsr
Chinese BAE,225464,1,Bellandur Sarjapur,4.0,['Chinese'],25000,50,50,50,Sai Durga Enclave,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,,chinese-bae-bellandur-sarjapur-bellandur-sarjapur
Night Fox,69729,1,Electronic City,2.9,"['Chinese', 'South Indian', 'North Indian', 'Desserts', 'Fast Food', 'Andhra', 'Beverages', 'Mughlai', 'Seafood', 'Punjabi', 'Hyderabadi']",30000,44,44,44,Singasandra,30% off on orders above ₹189,Percentage,RESTAURANT,4000,,night-fox-kudlu-gate-test-prod-area
