name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link,slug
Budapest Bake Inn,206489,1,BTM,3.7,"['Desserts', 'Ice Cream', 'Snacks', 'Fast Food']",35000,56,56,56,BTM,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,,budapest-bake-inn-btm-btm-2
Cholo Jai Kolkata,188139,1,Bellandur Sarjapur,3.7,['Bengali'],30000,56,56,56,Bellandur Sarjapur,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,,cholo-jai-kolkata-bellandur-sarjapur-bellandur-sarjapur
S S popular frozen stone,129552,1,Bellandur Sarjapur,3.8,"['Ice Cream', 'Beverages', 'Juices']",20000,46,46,46,Bellandur Sarjapur,Free delight on orders above ₹199,Freebie,RESTAURANT,5000,,s-s-popular-frozen-stone-bellandur-sarjapur
Siro's Grillhouse,333442,1,HSR,--,"['Arabian', 'Turkish', 'Biryani', 'Juices']",25000,26,26,26,HSR,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2500,,siro's-grillhouse-hsr-hsr
Kitchen Boy,238069,1,Bellandur Sarjapur,4.6,"['North Indian', 'Punjabi', 'Fast Food']",20000,35,35,35,Sarjapur Main Rd,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2800,,kitchen-boy-sarjapur-(do-not-use)-sarjapur-(do-not-use)
TFA The Food Adda,129046,1,HSR,4.1,"['Fast Food', 'North Indian', 'Chinese']",35000,41,41,41,"Sector 2, HSR Layout",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2800,,tfa-the-food-adda-btm
Onesta,336826,1,HSR,3.6,"['Italian', 'Desserts', 'Pizzas']",20000,39,39,39,"1st Sector, HSR",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2800,,onesta-4-1st-sector-hsr-hsr
Omleterian,255163,1,Kudlu Gate,--,"['American', 'British', 'Continental']",35000,42,42,42,Kudlu Gate,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2800,,omleterian-kudlu-gate-kudlu-gate
Punjabi Meal Express,340892,1,HSR,4,['North Indian'],25000,48,48,48,HSR,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2800,,meals-express-hsr-hsr
Khichadi Club,340889,1,HSR,--,['Home Food'],25000,54,54,54,HSR,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2800,,one-dollar-khichdi-hsr-hsr
The Jalsa by Nanumal Bhojraaj,341008,1,HSR,3.6,"['North Indian', 'Snacks', 'Biryani']",30000,45,45,45,HSR,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2800,,the-jalsa-by-nanumal-bhojraaj-hsr-hsr
Thalaivars Biryani,296693,1,Bellandur Sarjapur,4.3,"['Andhra', 'Biryani', 'Hyderabadi', 'South Indian', 'Indian']",30000,41,41,41,Bellandur Sarjapur,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,4000,,thalaivars-biryani-bellandur-sarjapur-bellandur-sarjapur
VYBHAV PALACE,324355,1,BTM,3.9,"['Biryani', 'North Indian', 'Chinese']",20000,47,47,47,BTM,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,6000,,vybhav-palace-btm-btm
Bombay Kulfi,140628,1,Bellandur Sarjapur,4.2,['Desserts'],10000,40,40,40,Bellandur,60% off on orders above ₹149,Percentage,RESTAURANT,5000,,bombay-kulfi-test-prod-area-2
Punjabi Unplugged,151047,1,Kudlu Gate,4.1,"['North Indian', 'Chinese', 'Indian', 'Mughlai', 'Biryani']",30000,27,27,27,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,0,,punjabi-unplugged-hsr
Shudh Desi Bhukkad,317882,1,Kudlu Gate,--,['Chinese'],30000,32,32,32,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,0,,shudh-desi-bhukkad-hsr-hsr
BalleLicious Kitchen,70039,1,Kudlu Gate,4.2,"['Punjabi', 'North Indian', 'Chinese', 'Mughlai', 'Desserts', 'Biryani']",25000,27,27,27,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,0,,ballelicious-kitchen-hsr-hsr
homely,66864,1,Kudlu Gate,4,"['Home Food', 'North Indian', 'South Indian', 'Healthy Food', 'Beverages', 'Chettinad', 'Combo', 'Desserts', 'Hyderabadi', 'Indian', 'Lucknowi', 'Maharashtrian', 'Mangalorean', 'Punjabi', 'Rajasthani', 'Snacks', 'Sweets', 'Thalis']",20000,26,26,26,Haralakunte Village,60% off | Use DEAL60,Percentage,RESTAURANT,0,,homely-kudlu-gate-test-prod-area
Healthful,310683,1,Kudlu Gate,3.8,"['Continental', 'Indian', 'Oriental', 'Healthy Food', 'Pan-Asian', 'Home Food', 'North Indian', 'Chinese', 'Desserts', 'Salads']",25000,29,29,29,Kudlu Gate,60% off | Use DEAL60,Percentage,RESTAURANT,0,,food-street-kudlu-gate-kudlu-gate
LunchBox,210200,1,Kudlu Gate,3.6,['North Indian'],30000,39,39,39,AECS Layout,60% off | Use DEAL60,Percentage,RESTAURANT,2500,,lunchbox-aecs-layout-kudlu-gate
Desi Dhaba,178398,1,Electronic City,3.8,['North Indian'],35000,45,45,45,Electronic City,60% off | Use DEAL60,Percentage,RESTAURANT,0,,desi-dhaba-electronic-city-electronic-city
Yum In My Tum,107301,1,BTM,3.7,"['Chinese', 'Continental', 'Beverages', 'Pizzas', 'Italian', 'Healthy Food', 'North Indian', 'Fast Food', 'Pastas', 'Desserts', 'Tibetan']",20000,55,55,55,2nd Stage,60% off | Use DEAL60,Percentage,RESTAURANT,0,,yum-in-my-tum-bengaluru-karnataka-btm
BOX8 - Desi Meals,289257,1,HSR,4.3,"['North Indian', 'Biryani', 'Fast Food', 'Combo', 'Snacks']",25000,23,23,23,Harlur Road,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,,box8-desi-meals-harlur-road-hsr
RJ 14 KITCHEN,302431,1,Kudlu Gate,--,['Indian'],15000,24,24,24,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2500,,rj-14-kitchen-kudlu-gate-kudlu-gate
Frozen Bottle,107708,1,Bellandur Sarjapur,4.2,"['Beverages', 'Ice Cream', 'Desserts']",25000,24,24,24,Harlur Road,50% off | Use SPECIALS,Percentage,RESTAURANT,2800,,frozen-bottle-sarjapur-disabled-2
Yumlane Ice Creams & Desserts,266486,1,Kudlu Gate,4,"['Ice Cream', 'Desserts', 'Beverages']",20000,25,25,25,Kudlu Gate,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,,yumlane-ice-creams-&-desserts-kudlu-gate-kudlu-gate
GULSHAN KA DHABA,302672,1,Kudlu Gate,--,['Indian'],14900,28,28,28,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2500,,gulshan-ka-dhaba-kudlu-gate-kudlu-gate
Marwadi Chaat  Tiffin Services,300968,1,Kudlu Gate,--,"['Indian', 'North Indian']",15000,28,28,28,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2500,,marwadi-chaat-tiffin-services-kudlu-gate-kudlu-gate
