name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link,slug
Sichuan,4520,1,HSR,4.1,['Chinese'],500.0,41,41,41,Sector 1,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,sichuan-hsr
Punjabi Nawabi,38008,1,Kudlu Gate,4.1,"['Punjabi', 'North Indian', 'Indian', 'Chinese', 'Biryani']",400.0,26,26,26,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,0.0,,punjabi-nawabi-hsr-hsr
Punjabi Nukkad Pure Veg,55896,1,Kudlu Gate,4.1,"['Punjabi', 'North Indian', 'Chinese', 'Desserts']",250.0,27,27,27,Harlur Main Road,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,punjabi-nukkad-hsr-hsr
Punjabi Meal Express,340892,1,HSR,4.1,['North Indian'],250.0,41,41,41,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,28.0,,meals-express-hsr-hsr
Thammudu Paaji,171752,1,Kudlu Gate,4.1,"['North Indian', 'Chinese', 'South Indian']",250.0,39,39,39,Harlur,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,thammudu-pajii-harlur-kudlu-gate
CakeZone,214485,1,Kudlu Gate,4.3,"['Desserts', 'Bakery', 'Ice Cream', 'Beverages']",200.0,25,25,25,Kudlu Gate,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,cakezone-kudlu-gate-kudlu-gate
Meal Singh,268323,1,Kudlu Gate,4.1,"['Healthy Food', 'Home Food', 'Indian', 'Thalis', 'Combo']",250.0,30,30,30,Kudlu Gate,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,meal-singh-kudlu-gate-kudlu-gate
Kolkata Rolls & Fast food,73862,1,Kudlu Gate,3.6,"['Chinese', 'North Indian']",150.0,32,32,32,Harlur road,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,kolkata-rolls-fast-food-hsr-hsr
Chef bakers,253178,1,Kudlu Gate,--,['Bakery'],300.0,21,21,21,"Silver county road,Haralur",,,,25.0,,chef-bakers-jayanagar-jayanagar
Anjappar,436,1,HSR,3.8,"['Chettinad', 'Thalis', 'Biryani', 'Chinese', 'Tandoor']",600.0,44,44,44,Sector 6,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,anjappar-sector-6-hsr
Retro the vintage cafe,202111,1,Kudlu Gate,4.5,"['Beverages', 'Ice Cream', 'Snacks', 'Desserts', 'Bakery', 'Fast Food']",200.0,26,26,26,Silver County Road,,,,25.0,,retro-the-vintage-cafe-kudlu-gate-kudlu-gate
Punjabi Unplugged,151047,1,Kudlu Gate,4.1,"['North Indian', 'Chinese', 'Indian', 'Mughlai', 'Biryani']",300.0,24,24,24,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,punjabi-unplugged-hsr
Shanmukha Restaurant,256577,1,HSR,4.0,"['Biryani', 'Hyderabadi', 'Andhra', 'North Indian', 'South Indian', 'Chinese', 'Tandoor', 'Seafood', 'Beverages']",300.0,37,37,37,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,shanmukha-restaurant-hsr-hsr
Little Paradise,213573,1,HSR,3.8,"['Biryani', 'Chinese', 'Andhra', 'North Indian']",230.0,27,27,27,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,little-paradise-hsr-hsr
