name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link,slug
WarmOven Cake & Desserts,27996,1,HSR,4.2,"['Bakery', 'Desserts', 'Ice Cream']",200.0,35,35,35,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,warm-oven-hsr-hsr
Singh Da Pind,294144,1,HSR,4.1,"['Punjabi', 'North Indian', 'Chinese', 'Mughlai']",400.0,29,29,29,HSR Layout,30% off | Use SWIGGYIT,Percentage,RESTAURANT,40.0,,singh-da-pind-kudlu-gate-kudlu-gate
MEALFUL WRAPS,274772,1,HSR,--,"['Fast Food', 'North Indian', 'Desserts', 'Snacks', 'Indian']",250.0,27,27,27,Harlur Road,50% off | Use SWIGGYIT,Percentage,RESTAURANT,40.0,,mealful-wraps-meals-in-a-wrap-harlur-road-hsr
Yumlane Pizza,118541,1,Bellandur Sarjapur,3.7,"['Pizzas', 'Desserts', 'Ice Cream', 'Beverages', 'Italian']",300.0,31,31,31,Kasavanahalli,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,yumlane-pizza-kasavanahalli-bellandursarjapur
Itminaan Biryani - Dum Pukht,313595,1,HSR,4.3,"['Biryani', 'North Indian', 'Mughlai']",400.0,30,30,30,Harlur Road,50% off | Use SWIGGYIT,Percentage,RESTAURANT,40.0,,itminaan-dum-pukht-biryani-harlur-road-hsr
LeanCrust Pizza,313460,1,HSR,--,"['Pizzas', 'Italian', 'Healthy Food']",350.0,26,26,26,Harlur Road,50% off | Use SWIGGYIT,Percentage,RESTAURANT,40.0,,leancrust-pizza-harlur-road-hsr
Khichdi Experiment,184156,1,HSR,4.4,"['Home Food', 'Healthy Food', 'Indian']",250.0,30,30,30,"Link Rd, BDA Layout",50% off | Use SPECIALS,Percentage,RESTAURANT,40.0,,khichidi-experiment-27th-main-hsr-layout-hsr
The Biryani Experiment,219721,1,HSR,4.0,"['Mughlai', 'Biryani']",500.0,38,38,38,"Link Rd, BDA Layout",40% off | Use SWIGGYIT,Percentage,RESTAURANT,40.0,,isfahani-biryani-link-rd-bda-layout-hsr
Gulpp,305857,1,HSR,--,"['Beverages', 'Desserts']",150.0,26,26,26,"Link Rd, BDA Layout",,,,40.0,,beverages-shakes-link-rd-bda-layout-hsr
The Daily Diner,305833,1,HSR,3.8,"['North Indian', 'Indian', 'Beverages', 'Home Food', 'Combo', 'Healthy Food', 'South Indian']",250.0,30,30,30,"Link Rd, BDA Layout",50% off | Use SWIGGYIT,Percentage,RESTAURANT,40.0,,paratha-combo-link-rd-bda-layout-hsr
