name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link,slug
Cholo Jai Kolkata,188139,1,Bellandur Sarjapur,3.7,['Bengali'],30000,43,43,43,Bellandur Sarjapur,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,,cholo-jai-kolkata-bellandur-sarjapur-bellandur-sarjapur
Magadhi Mewa,151024,1,Kudlu Gate,4.1,"['Chaat', 'Sweets', 'Snacks', 'Desserts', 'Street Food', 'North Indian']",15000,34,34,34,Kudlu Gate,Free delight on orders above ₹675,Freebie,RESTAURANT,2300,,magadhi-mewa-kudlu-gate
Onesta,336826,1,HSR,3.6,"['Italian', 'Desserts', 'Pizzas']",20000,39,39,39,"1st Sector, HSR",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2600,,onesta-4-1st-sector-hsr-hsr
TFA The Food Adda,129046,1,HSR,4.2,"['Fast Food', 'North Indian', 'Chinese']",35000,37,37,37,"Sector 2, HSR Layout",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2600,,tfa-the-food-adda-btm
Biriyan,297429,1,HSR,4.3,['Indian'],26000,46,46,46,Periamet,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2600,,biriyan-hsr-hsr
Natural Ice Cream,248725,1,HSR,4.7,['Ice Cream'],15000,35,35,35,"7th Sector, HSR Layout",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2600,,natural-ice-cream-7th-sector-hsr-layout-hsr
HANUMANTHU PALAV(Non-Veg),290609,1,HSR,3.9,['Biryani'],25000,34,34,34,HSR,₹50 off on orders above ₹249,Flat,RESTAURANT,2600,,hanumanthu-palav(non-veg)-hsr-hsr
Village Donne Biryani,290584,1,HSR,3.4,['Biryani'],26000,32,32,32,HSR,₹50 off on orders above ₹249,Flat,RESTAURANT,2600,,village-donne-biryani-hsr-hsr
NATI STYLE DONNE BIRYANI,290612,1,HSR,4,['Biryani'],25000,29,29,29,HSR,₹50 off on orders above ₹249,Flat,RESTAURANT,2600,,nati-style-donne-biryani-hsr-hsr
Biryani Rooh-e-Khaas,151050,1,Kudlu Gate,--,"['Mughlai', 'Biryani']",30000,23,23,23,HSR Layout,60% off | Use DEAL60,Percentage,RESTAURANT,2300,,biryani-rooh-e-khaas-hsr
LeanCrust Pizza,313460,1,HSR,--,"['Pizzas', 'Italian', 'Healthy Food']",35000,26,26,26,Harlur Road,60% off | Use DEAL60,Percentage,RESTAURANT,2300,,leancrust-pizza-harlur-road-hsr
Itminaan Biryani - Dum Pukht,313595,1,HSR,4.1,"['Biryani', 'North Indian', 'Mughlai']",40000,26,26,26,Harlur Road,60% off | Use DEAL60,Percentage,RESTAURANT,2300,,itminaan-dum-pukht-biryani-harlur-road-hsr
BOX8 - Desi Meals,289257,1,HSR,4.3,"['North Indian', 'Biryani', 'Fast Food', 'Combo', 'Snacks']",25000,26,26,26,Harlur Road,60% off | Use DEAL60,Percentage,RESTAURANT,2300,,box8-desi-meals-harlur-road-hsr
Bombay Kulfis,40671,1,HSR,--,"['Desserts', 'Ice Cream', 'Sweets']",10000,26,26,26,"Sector 2, HSR",60% off | Use DEAL60,Percentage,RESTAURANT,0,,bombay-kulfis-hsr-harlur-road-hsr
Bombay Kulfis,21164,1,Bellandur Sarjapur,4.3,"['Ice Cream', 'Desserts', 'Sweets']",10000,29,29,29,Green Glen Layout,60% off | Use DEAL60,Percentage,RESTAURANT,0,,bombay-kulfis-sarjapur-main-road-bellandursarjapur
Slurpy Shakes,59615,1,Bellandur Sarjapur,--,"['Beverages', 'Ice Cream', 'Desserts']",20000,30,30,30,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,slurpy-shake-rjapur-main-rd-kaikondrahalli-bellandursarjapur
Indiana Burgers,59797,1,Bellandur Sarjapur,4.2,"['American', 'Fast Food', 'Beverages', 'Healthy Food']",15000,31,31,31,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,indiana-burgers-kaikondrahalli-bellandursarjapur
Beijing Bites,487,1,Bellandur Sarjapur,4,"['Chinese', 'Thai']",45000,32,32,32,Haralur Main Road,60% off | Use DEAL60,Percentage,RESTAURANT,0,,beijing-bites-next-to-spencer-super-market-bellandursarjapur
Kaati Zone Rolls and Wraps,503,1,Bellandur Sarjapur,4.2,"['Fast Food', 'Beverages', 'Bengali', 'Biryani', 'Indian', 'North Indian', 'Snacks', 'Street Food', 'Healthy Food']",15000,32,32,32,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,kaati-zone-bellandur-gate-bellandursarjapur
Sundae Everyday Ice Creams,255298,1,Bellandur Sarjapur,4.1,"['Desserts', 'Ice Cream']",20000,32,32,32,Bellandur Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,sundae-everyday-bellandur-sarjapur-bellandur-sarjapur
Bombay Kulfis,21162,1,HSR,4.3,"['Ice Cream', 'Desserts', 'Sweets']",10000,32,32,32,Sector 7,60% off | Use DEAL60,Percentage,RESTAURANT,0,,bombay-kulfis-sector-7-hsr
Telugu Vantillu,316386,1,Kudlu Gate,3.9,"['Andhra', 'Combo', 'Home Food', 'Thai', 'South Indian', 'Indian', 'Beverages', 'Desserts']",25000,33,33,33,Kudlu Gate,60% off | Use DEAL60,Percentage,RESTAURANT,2300,,paratha-pop-cv-raman-nagar-cv-raman-nagar
WarmOven Cake & Desserts,19627,1,Bellandur Sarjapur,4.3,"['Bakery', 'Desserts', 'Ice Cream']",20000,33,33,33,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,warm-oven-dodsworth-layout-whitefield
Cupcake Bliss Cakes & Desserts,60657,1,Bellandur Sarjapur,4.2,"['Desserts', 'Ice Cream', 'Bakery', 'American', 'British', 'Combo', 'Snacks']",19900,33,33,33,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,cupcake-bliss-kaikondrahalli-bellandursarjapur
Hyderabad Bawarchi,176380,1,HSR,4,"['Biryani', 'Hyderabadi', 'North Indian', 'Fast Food', 'Andhra', 'Mughlai', 'Seafood', 'Punjabi']",35000,33,33,33,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,2600,,hyderabadi-bawarchi-hsr-hsr
Paradise Biryani,233815,1,HSR,3.8,"['Biryani', 'Kebabs']",40000,34,34,34,Sector 4,60% off | Use DEAL60,Percentage,RESTAURANT,2600,,paradise-biryani-sector-4-hsr
Paratha Experiment,254868,1,HSR,4.1,"['North Indian', 'Punjabi']",20000,35,35,35,"Link Rd, BDA Layout",60% off | Use DEAL60,Percentage,RESTAURANT,2300,,paratha-experiment-link-rd-bda-layout-hsr
Crazy Bao,312286,1,Bellandur Sarjapur,3.7,"['Chinese', 'Pan-Asian', 'Asian', 'Snacks', 'Beverages']",20000,35,35,35,Bellandur Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,2600,,crazy-bao-bellandur-sarjapur-bellandur-sarjapur-2
Smoodies,110402,1,HSR,4.3,"['Beverages', 'Healthy Food']",14000,35,35,35,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,0,,smoodies-marathahalli
Samosa Singh,51653,1,HSR,4,"['Fast Food', 'Snacks', 'North Indian', 'Desserts', 'Beverages']",10000,35,35,35,"Madeena Nagar,HSR Layout",60% off | Use DEAL60,Percentage,RESTAURANT,2600,,samosa-singh-hsr-hsr
Healthful,310683,1,Kudlu Gate,3.8,"['Continental', 'Indian', 'Oriental', 'Healthy Food', 'Pan-Asian', 'Home Food', 'North Indian', 'Chinese', 'Desserts', 'Salads']",25000,36,36,36,Kudlu Gate,60% off | Use DEAL60,Percentage,RESTAURANT,0,,food-street-kudlu-gate-kudlu-gate
Ovenstory Pizza,210188,1,Kudlu Gate,4.2,['Pizzas'],60000,36,36,36,AECS Layout,60% off | Use DEAL60,Percentage,RESTAURANT,2300,,ovenstory-pizza-aecs-layout-kudlu-gate
Ghar Ka Tadka,75478,1,HSR,4.3,"['North Indian', 'Home Food', 'South Indian']",40000,36,36,36,3rd Sector,60% off | Use DEAL60,Percentage,RESTAURANT,0,,nutrifit-hsr-1-hsr
Cafe Coffee Day,65512,1,Bellandur Sarjapur,3.7,"['Beverages', 'Snacks', 'Desserts']",30000,38,38,38,"PLOT NO 73,BINEETA PLAZA",60% off | Use DEAL60,Percentage,RESTAURANT,2600,,cafe-coffee-day-plot-no-73bineeta-plaza-bellandursarjapur
Susie's Burgers,215410,1,HSR,--,"['American', 'Fast Food']",30000,38,38,38,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,2600,,susie's-burgers-hsr-hsr
Hungry Panda,312170,1,Bellandur Sarjapur,3.9,"['Asian', 'Chinese', 'Pan-Asian', 'Snacks']",25000,39,39,39,Bellandur Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,2600,,hungry-panda-bellandur-sarjapur-bellandur-sarjapur-2
Wow! Momo,294590,1,HSR,4,"['Tibetan', 'Fast Food', 'Chinese', 'Snacks', 'Continental', 'Desserts']",30000,40,40,40,HSR SECTOR 4 CCD,60% off | Use DEAL60,Percentage,RESTAURANT,2600,,wow-momo-hsr-sector-4-ccd-koramangala
Khichadi Club,340889,1,HSR,--,['Home Food'],25000,43,43,43,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,2600,,one-dollar-khichdi-hsr-hsr
