name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link,slug
Dindigul Thalappakatti,139558,1,HSR,3.9,['North Indian'],650.0,43,43,43,HSR,20% off | Use JUMBO,Percentage,RESTAURANT,28.0,,dindigul-thalappakatti-hsr
Punjabi Nawabi,38008,1,Kudlu Gate,4.1,"['Punjabi', 'North Indian', 'Indian', 'Chinese', 'Biryani']",400.0,31,31,31,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,punjabi-nawabi-hsr-hsr
Punjabi Nukkad Pure Veg,55896,1,Kudlu Gate,4.1,"['Punjabi', 'North Indian', 'Chinese', 'Desserts']",250.0,28,28,28,Harlur Main Road,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,punjabi-nukkad-hsr-hsr
Sichuan,4520,1,HSR,4.1,['Chinese'],500.0,44,44,44,Sector 1,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,sichuan-hsr
Thammudu Paaji,171752,1,Kudlu Gate,4.1,"['North Indian', 'Chinese', 'South Indian']",250.0,36,36,36,Harlur,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,thammudu-pajii-harlur-kudlu-gate
CakeZone,214485,1,Kudlu Gate,4.3,"['Desserts', 'Bakery', 'Ice Cream', 'Beverages']",200.0,28,28,28,Kudlu Gate,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,cakezone-kudlu-gate-kudlu-gate
Little Paradise,213573,1,HSR,3.7,"['Biryani', 'Chinese', 'Andhra', 'North Indian']",230.0,30,30,30,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,little-paradise-hsr-hsr
Kolkata Rolls & Fast food,73862,1,Kudlu Gate,3.5,"['Chinese', 'North Indian']",150.0,27,27,27,Harlur road,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,kolkata-rolls-fast-food-hsr-hsr
Retro the vintage cafe,202111,1,Kudlu Gate,4.5,"['Beverages', 'Ice Cream', 'Snacks', 'Desserts', 'Bakery', 'Fast Food']",200.0,31,31,31,Silver County Road,,,,25.0,,retro-the-vintage-cafe-kudlu-gate-kudlu-gate
Punjabi Meal Express,340892,1,HSR,4.1,['North Indian'],250.0,44,44,44,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,28.0,,meals-express-hsr-hsr
Punjabi Unplugged,151047,1,Kudlu Gate,4.1,"['North Indian', 'Chinese', 'Indian', 'Mughlai', 'Biryani']",300.0,31,31,31,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,punjabi-unplugged-hsr
Five star chicken,263375,1,HSR,4.1,"['American', 'Asian', 'Beverages']",130.0,31,31,31,HSR,40% off on all orders,Percentage,RESTAURANT,25.0,,five-star-chicken-hsr-hsr
