,name,rest_id,city,area,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
147,Food Gallery,94952,57,Rasulgarh,"['Indian', 'Chinese']",15000,52,52,52,Rasulgarh,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
148,Mohan's Handi Biriyani,115589,57,Rasulgarh,"['Indian', 'Chinese', 'Tandoor']",20000,41,41,41,Rasulgarh Square,,,,2700,
149,CAPITAL KITCHEN,305043,57,Sahid Nagar,['Indian'],20000,46,46,46,Rasulgarh,10% off on orders above ₹299,Percentage,RESTAURANT,2700,
150,Foodzo,83406,57,Nayapalli,"['Indian', 'Chinese']",30000,51,51,51,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
151,Simran S Kitchen,329337,57,Patia,['Indian'],20000,57,57,57,Patia,,,,2700,
152,Linkunara_The Kitchen,220513,57,Sahid Nagar,"['Fast Food', 'Biryani', 'Indian', 'North Indian', 'Combo', 'Desserts']",20000,49,49,49,"Satya Nagar ,Near Forum mall",50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
153,ZINGIBER,293926,57,Sahid Nagar,"['South Indian', 'Chinese', 'Fast Food']",50000,45,45,45,Sahid Nagar,,,,2700,
154,THE CHEFS KITCHEN,337941,57,Sahid Nagar,"['Indian', 'Chinese', 'Tandoor']",50000,42,42,42,Sahid Nagar,10% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
155,Tandooriwala,71133,57,Patia,"['Indian', 'Mughlai']",50000,47,47,47,Infocity Avenue,,,,2700,
156,Keventers - Milkshakes & Ice Cream,86982,57,Rasulgarh,"['Beverages', 'Ice Cream', 'Desserts', 'Healthy Food']",30000,48,48,48,Esplande Mall,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
157,HOTEL ODISHA INTERNATIONAL,297651,57,Sahid Nagar,['North Indian'],30000,42,42,42,Sahid Nagar,,,,2700,
158,HOTEL SAI SWAD,305735,57,Rasulgarh,['Indian'],30000,46,46,46,Rasulgarh,,,,2700,
159,Hotel Tilotama,112408,57,Rasulgarh,"['Indian', 'Chinese']",20000,45,45,45,GGP Colony Square,,,,2700,
160,HOTEL SAI SWAD,305735,57,Rasulgarh,['Indian'],30000,46,46,46,Rasulgarh,,,,2700,
161,Hotel Tilotama,112408,57,Rasulgarh,"['Indian', 'Chinese']",20000,45,45,45,GGP Colony Square,,,,2700,
162,Chicken Handi,92083,57,Patia,"['Indian', 'Chinese']",30000,55,55,55,INFOCITY SQURE,,,,2700,
163,Victoria Oriental & Thai Restaurant,81806,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor']",45000,51,51,51,CRP Square,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
164,HOTEL NEW TASTE,308105,57,Rasulgarh,['Indian'],20000,47,47,47,Rasulgarh,,,,2700,
165,Baskin Robbins,111281,57,Rasulgarh,"['Desserts', 'Ice Cream']",20000,51,51,51,Forum Esplanade Mall,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
166,Taste of Hyderabad,225002,57,Sahid Nagar,"['Chinese', 'Hyderabadi']",25000,48,48,48,Sahid Nagar,,,,2700,
167,Chili's American Grill & Bar,94911,57,Sahid Nagar,"['American', 'Salads', 'Mexican', 'Italian', 'Steakhouse']",90000,53,53,53,Esplanade ONE,,,,2700,
168,Mirch Masala-The New Marrion Hotel,122349,57,Sahid Nagar,['Indian'],60000,57,57,57,Janpath,,,,2700,
169,Biryani 247,76134,57,Old BBSR,['Biryani'],25000,50,50,50,Near Chcolate house,,,,2700,
170,Hotel Mast Mast,203012,57,Rasulgarh,"['Biryani', 'Chinese', 'Indian', 'Thalis']",20000,44,44,44,Satya Nagar,25% off on all orders,Percentage,RESTAURANT,2700,
171,DIALOGUES,339236,57,Patia,"['Chinese', 'North Indian']",30000,39,39,39,Patia,,,,2700,
172,SILVER STICK,299673,57,Sahid Nagar,"['Chinese', 'Indian']",25000,49,49,49,Sahid Nagar,,,,2700,
173,BURNT INDIAN CLOUD KITCHEN,298512,57,Patia,"['Chinese', 'Indian', 'Barbecue']",30000,57,57,57,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
174,Hotel Royal Biryani Center,125593,57,Rasulgarh,"['Indian', 'Chinese', 'Tandoor']",25000,49,49,49,Rasulgarh,,,,2700,
175,BAPA PUA HOTEL,317325,57,Nayapalli,"['Snacks', 'Fast Food', 'Indian']",20000,40,40,40,Prabhakar Rd,,,,2700,
176,Biryani 247,76134,57,Old BBSR,['Biryani'],25000,50,50,50,Near Chcolate house,,,,2700,
177,Hotel Mast Mast,203012,57,Rasulgarh,"['Biryani', 'Chinese', 'Indian', 'Thalis']",20000,44,44,44,Satya Nagar,25% off on all orders,Percentage,RESTAURANT,2700,
178,DIALOGUES,339236,57,Patia,"['Chinese', 'North Indian']",30000,39,39,39,Patia,,,,2700,
179,SILVER STICK,299673,57,Sahid Nagar,"['Chinese', 'Indian']",25000,49,49,49,Sahid Nagar,,,,2700,
180,BURNT INDIAN CLOUD KITCHEN,298512,57,Patia,"['Chinese', 'Indian', 'Barbecue']",30000,57,57,57,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
181,Hotel Royal Biryani Center,125593,57,Rasulgarh,"['Indian', 'Chinese', 'Tandoor']",25000,49,49,49,Rasulgarh,,,,2700,
182,BAPA PUA HOTEL,317325,57,Nayapalli,"['Snacks', 'Fast Food', 'Indian']",20000,40,40,40,Prabhakar Rd,,,,2700,
183,GRANDMAS KITCHEN,322652,57,Patia,"['Indian', 'Tandoor', 'Chinese', 'Bengali']",20000,58,58,58,Patia,,,,3200,
184,Shanghai Express-The New Marrion Hotel,122350,57,Sahid Nagar,['Chinese'],60000,51,51,51,Janpath,,,,2700,
185,Biriyani Box,106233,57,Old BBSR,"['Biryani', 'Kebabs', 'Fast Food', 'Desserts', 'Indian']",20000,54,54,54,Laxmi Sagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
186,Hotel Manpasand,117879,57,Khandagiri,"['Indian', 'Chinese', 'Tandoor']",14000,49,49,49,Baramunda Housing Board Colony,30% off | Use SPECIALS,Percentage,RESTAURANT,0,
187,BIRYANI MOGHULS,334002,57,Patia,"['Indian', 'Biryani', 'Mughlai']",50000,41,41,41,Patia,40% off on all orders,Percentage,RESTAURANT,2700,
188,TASTY ROYAL FOOD,327358,57,Patia,"['Chinese', 'North Indian', 'Biryani']",20000,55,55,55,Patia,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
189,Biriyanisthan,87317,57,Chandrashekarpur,"['Indian', 'Biryani']",30000,46,46,46,Near Shree Residency,40% off above Rs 139,Percentage,RESTAURANT,0,
190,FITTREAT,263523,57,Patia,"['Snacks', 'Continental', 'Juices']",20000,51,51,51,Patia,30% off on all orders,Percentage,RESTAURANT,3200,
191,Wings And Burger,215431,57,Patia,"['American', 'Continental', 'Fast Food']",30000,50,50,50,Patia,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
192,Manomay,113267,57,Rasulgarh,"['Fast Food', 'Snacks', 'South Indian', 'Desserts', 'Sweets']",15000,52,52,52,Laxmi Sagar,,,,3200,
193,The Gourmet Shake,220316,57,Patia,"['Cafe', 'Desserts', 'Beverages', 'Ice Cream']",9900,49,49,49,Patia,,,,3200,
194,Fresh Box,237586,57,Patia,"['Beverages', 'Desserts', 'Indian', 'Chinese', 'Tibetan']",20000,51,51,51,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
195,Mad Moose,71141,57,Patia,"['Ice Cream', 'Desserts']",20000,52,52,52,"KIIT Road, Opposite OEU Tower",Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,
196,Hot & Tasty foods,334404,57,Patia,"['Chinese', 'Indian', 'Tandoor']",25000,44,44,44,Patia,,,,3200,
197,FOOD HEAVEN,337254,57,Patia,['Indian'],30000,57,57,57,Patia,,,,3200,
198,MUNGERI DHABA,337448,57,Patia,"['North Indian', 'Chinese', 'Mughlai']",20000,51,51,51,Patia,40% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
199,Wrapsto,71612,57,Patia,"['Lebanese', 'Biryani']",15000,52,52,52,KIIT Road,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
200,Eat Street,78654,57,Patia,"['Biryani', 'Mughlai', 'Indian', 'Chinese', 'Kebabs']",20000,48,48,48,Infocity Road,,,,3200,
201,Waffle Bites,71137,57,Patia,['Desserts'],40000,53,53,53,Near Axis Bank,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
202,Sizzling Pots,180530,57,Patia,"['Indian', 'Chinese']",25000,47,47,47,"Kanan vihar phase-2, patia",,,,3200,
203,Biryani Express,318352,57,Patia,"['Biryani', 'Indian']",30000,51,51,51,Patia,,,,3200,
204,THE FOODBERRY,340986,57,Patia,"['Biryani', 'Chinese', 'Indian']",20000,42,42,42,Patia,,,,3200,
205,OOO DELICIOUS,247923,57,Patia,['Indian'],25000,53,53,53,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
206,SMJ FOOD,337528,57,Sahid Nagar,"['Biryani', 'Chinese', 'Indian']",20000,47,47,47,Sahid Nagar,20% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
207,Burger One,221334,57,Khandagiri,"['American', 'Fast Food']",25000,58,58,58,Khandagiri,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
208,SMJ FOOD,337528,57,Sahid Nagar,"['Biryani', 'Chinese', 'Indian']",20000,47,47,47,Sahid Nagar,20% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
209,Burger One,221334,57,Khandagiri,"['American', 'Fast Food']",25000,58,58,58,Khandagiri,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
210,ODIA BITES,333172,57,Sahid Nagar,"['Chinese', 'Indian', 'Biryani']",20000,47,47,47,Sahid Nagar,20% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
211,TRUPTEE LEGACY,326172,57,Patia,"['Indian', 'Chinese', 'Tandoor']",20000,48,48,48,Patia,,,,3200,
212,Wow! China by Wow! Momo,252049,57,Patia,"['Tibetan', 'Fast Food', 'Chinese', 'Snacks', 'Continental', 'Desserts']",30000,57,57,57,Infocity,50% off | Use SPECIALS,Percentage,RESTAURANT,3200,
213,Red Chilly Fast Food,74115,57,Patia,"['Indian', 'Chinese']",20000,57,57,57,Infocity Ave,40% off on all orders,Percentage,RESTAURANT,3200,
214,GUAVAZ Natural Ice Creams,180786,57,Patia,"['Desserts', 'Ice Cream']",20000,46,46,46,Patia,,,,3200,
215,Ikka,87302,57,Patia,['Chinese'],40000,48,48,48,Near Hotel Suraj Palace,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
216,VARENYAS RESTAURANT,343030,57,Sahid Nagar,['Indian'],20000,51,51,51,Sahid Nagar,,,,3200,
217,Hotel Charlie,202309,57,Sahid Nagar,"['Biryani', 'Chinese', 'Indian']",20000,51,51,51,Cuttack Puri Road,,,,3700,
218,pizza cheesa,233517,57,Patia,"['Pizzas', 'Fast Food', 'Pastas']",20000,43,43,43,Patia,,,,3200,
219,Adda Unplugged,71139,57,Patia,"['Biryani', 'Hyderabadi', 'Indian', 'Chinese', 'Mexican', 'Italian', 'Continental', 'Beverages']",40000,58,58,58,KIIT Road,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
220,Silver Spoon,71129,57,Patia,"['North Indian', 'Chinese']",50000,61,61,61,Infocity Avenue,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
221,Videsi Cafe,315605,57,Patia,"['Biryani', 'Chinese', 'Combo']",20000,52,52,52,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
222,BIGGUY'S WINGERY,322930,57,Patia,['Fast Food'],30000,48,48,48,Patia,20% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
223,Shake Speare,328119,57,Patia,['Beverages'],20000,48,48,48,Patia,10% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
224,BIGGUY'S WINGERY,322930,57,Patia,['Fast Food'],30000,48,48,48,Patia,20% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
225,Shake Speare,328119,57,Patia,['Beverages'],20000,48,48,48,Patia,10% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
226,THE INDIAN SAMOSA,297626,57,Patia,['Indian'],20000,44,44,44,Patia,,,,3200,
227,Mr. Paratha,295309,57,Patia,"['Indian', 'Chinese']",20000,44,44,44,Patia,,,,3200,
228,The Indian Samosa,250627,57,Patia,"['Beverages', 'Fast Food', 'Snacks', 'South Indian']",20000,58,58,58,Patia,,,,3200,
229,Chai Resto,250625,57,Patia,"['Beverages', 'Fast Food', 'South Indian']",20000,48,48,48,Patia,,,,3200,
230,ODIA	HANDISHALA,307724,57,Khandagiri,['Indian'],20000,53,53,53,Khandagiri,,,,3700,
231,MAHAVEER MULTICUISINE RESTAURANT & SWEETS,341847,57,Patia,"['Tandoor', 'Indian', 'Chinese']",20000,51,51,51,Patia,,,,3200,
