name,rest_id,city,area,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
GANESH FRUIT JUICE CENTER,295170,1,HSR,"['Beverages', 'Ice Cream', 'Juices']",9900,29,29,29,HSR,,,,2800,
99 Variety Dosa,295490,1,HSR,"['South Indian', 'Beverages']",9900,29,29,29,HSR,,,,2800,
Naati Mane,302050,1,HSR,['Indian'],35000,29,29,29,HSR,,,,2800,
Chai Point,10306,1,HSR,"['Bakery', 'Cafe', 'Combo', 'Beverages', 'Maharashtrian', 'Snacks', 'Street Food', 'South Indian', 'Punjabi', 'Fast Food']",15000,30,30,30,5th Main,60% off | Use DEAL60,Percentage,RESTAURANT,2800,
Meal Studio,231932,1,HSR,"['North Indian', 'Indian', 'Combo', 'Desserts', 'Beverages', 'Home Food', 'Healthy Food', 'Thalis', 'South Indian']",30000,30,30,30,24th main Parangipalya,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Canteen Central,124852,1,HSR,"['Snacks', 'Fast Food', 'North Indian', 'South Indian']",20000,30,30,30,24th main Parangipalya,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Meal Singh,268323,1,Kudlu Gate,"['Healthy Food', 'Home Food', 'Indian', 'Thalis', 'Combo']",25000,30,30,30,Kudlu Gate,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Domino's Pizza,49668,1,Bangalore,['Pizzas'],40000,30,30,30,Haralur Village,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Donne Biriyani House,45408,1,HSR,"['Biryani', 'South Indian', 'Combo']",20000,30,30,30,Koramangala,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
XO Belgian Waffle,79027,1,HSR,['Desserts'],25000,30,30,30,HSR Layout,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
90's,146285,1,HSR,"['North Indian', 'Fast Food']",18000,30,30,30,Parangi Palaya HSR Layout Sector 2,,,,2500,
Bowl Na!,238310,1,HSR,"['North Indian', 'Biryani', 'Beverages', 'Desserts']",20000,30,30,30,OYO Townhouse 049 HSR Layout,,,,2800,
One meal Story,221789,1,HSR,['Indian'],20000,30,30,30,HSR,,,,2800,
Paratha Singh,303559,1,HSR,"['Beverages', 'Desserts', 'Fast Food']",20000,30,30,30,HSR,,,,2800,
Bean Muse Cafe,342131,1,HSR,"['Pastas', 'Continental']",50000,30,30,30,HSR,,,,2800,
Ovenfresh Cakes,179417,1,HSR,['Bakery'],50000,30,30,30,HSR,,,,2800,
Matka Kulfi,335284,1,HSR,['Ice Cream'],20000,30,30,30,HSR,,,,2800,
Fresh Cane Juice,335264,1,HSR,"['Indian', 'Juices']",20000,30,30,30,HSR,,,,2800,
Apsara Ice Creams,204298,1,Bellandur Sarjapur,"['Ice Cream', 'Desserts']",15000,30,30,30,Bellandur Sarjapur,,,,2800,
Natural Ice Cream,248725,1,HSR,['Ice Cream'],15000,31,31,31,"7th Sector, HSR Layout",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2800,
Cupcake Bliss Cakes & Desserts,60657,1,Bellandur Sarjapur,"['Desserts', 'Ice Cream', 'Bakery', 'American', 'British', 'Combo', 'Snacks']",19900,31,31,31,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,
The Bowl Company,146387,1,Kudlu Gate,"['Continental', 'North Indian', 'Pan-Asian', 'Desserts', 'American', 'Asian', 'Beverages', 'Biryani', 'Chinese', 'Combo', 'European', 'Fast Food', 'Grill', 'Hyderabadi', 'Indian', 'Italian', 'Kebabs', 'Lucknowi', 'Mediterranean', 'Mexican', 'Mughlai', 'Oriental', 'Pas']",30000,31,31,31,Kudlu,40% off | Use SWIGGYIT,Percentage,RESTAURANT,3000,
Telugu Vantillu,316386,1,Kudlu Gate,"['Andhra', 'Combo', 'Home Food', 'Thai', 'South Indian', 'Indian', 'Beverages', 'Desserts']",25000,31,31,31,Kudlu Gate,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Breakfast Express,220641,1,Kudlu Gate,"['Continental', 'North Indian', 'South Indian', 'Healthy Food', 'American', 'Beverages', 'British', 'Cafe', 'Combo', 'European', 'Desserts']",20000,31,31,31,Kudlu,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Beijing Bites,487,1,Bellandur Sarjapur,"['Chinese', 'Thai']",45000,31,31,31,Haralur Main Road,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Chaayos Meri Wali Chai,334867,1,HSR,"['Bakery', 'Beverages', 'Cafe', 'Chaat', 'Desserts', 'Fast Food', 'Healthy Food', 'Home Food', 'Italian', 'Maharashtrian', 'Snacks', 'Street Food', 'Sweets']",25000,31,31,31,Chaayos  HSR Layout,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
SLAY Coffee Bar,301584,1,HSR,"['Beverages', 'Cafe', 'Desserts']",20000,31,31,31,SECTOR 3,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Bombay Kulfis,21164,1,Bellandur Sarjapur,"['Ice Cream', 'Desserts', 'Sweets']",10000,31,31,31,Green Glen Layout,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Home Plate by Canteen Central,288681,1,HSR,"['Home Food', 'North Indian', 'Healthy Food', 'Beverages', 'Thalis', 'Indian', 'South Indian', 'Combo', 'Punjabi']",16000,31,31,31,HSR,40% off | Use SPECIALS,Percentage,RESTAURANT,0,
Fresh Fit,323535,1,HSR,['Healthy Food'],28000,31,31,31,HSR,30% off on all orders,Percentage,RESTAURANT,2800,
Singh Da Pind,294144,1,HSR,"['Punjabi', 'North Indian', 'Chinese', 'Mughlai']",40000,31,31,31,HSR Layout,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Freshery,249310,1,Kudlu Gate,"['Healthy Food', 'Juices', 'Beverages', 'Combo', 'Salads', 'Snacks', 'Vegan']",20000,31,31,31,Haralakunte Village,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Cocazy Ice Creams,260642,1,HSR,"['Desserts', 'Ice Cream']",25000,31,31,31,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
CANTEEN CO,301139,1,HSR,"['North Indian', 'Street Food', 'Combo', 'Chaat']",40000,31,31,31,HSR,25% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
BigBites,331553,1,HSR,['Fast Food'],40000,31,31,31,HSR,20% off on all orders,Percentage,RESTAURANT,2800,
Istah Shawarma and Biryani,293027,1,Kudlu Gate,"['Biryani', 'Arabian', 'Lebanese']",25000,31,31,31,MICRO LABS BOMMANAHALLI,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Little Paradise Express,330545,1,HSR,"['Biryani', 'North Indian', 'Andhra', 'Chinese']",20000,31,31,31,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
BOWLSS OF BLISS,319078,1,HSR,['Ice Cream'],20000,31,31,31,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Orchard Fresh - Natural Ice creams & Kulfi's,38640,1,Bellandur Sarjapur,"['Ice Cream', 'Desserts']",30000,31,31,31,Bellandur Sarjapur,15% off on orders above ₹199,Percentage,RESTAURANT,2800,
Brownie Heaven,316184,1,HSR,['Desserts'],20000,31,31,31,HSR,15% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Mega Biryani,323521,1,HSR,['Biryani'],35000,31,31,31,HSR,10% off on all orders,Percentage,RESTAURANT,2800,
NMR Multicuisine Restaurant,110514,1,Kudlu Gate,"['Chinese', 'North Indian', 'Beverages', 'Seafood']",30000,31,31,31,AECS Layout,,,,2500,
Pakka Andhra Curry's,232612,1,Kudlu Gate,"['Indian', 'Andhra', 'Biryani']",30000,31,31,31,Truffles_Indiranagar,,,,2800,
The Chilli Gully,205452,1,Bellandur Sarjapur,"['Chinese', 'Punjabi', 'North Indian']",50000,31,31,31,Sarjapur Main Rd,,,,2800,
HANUMANTHU PALAV(Non-Veg),290609,1,HSR,['Biryani'],25000,32,32,32,HSR,₹50 off on orders above ₹249,Flat,RESTAURANT,2800,
Slurpy Shakes,59615,1,Bellandur Sarjapur,"['Beverages', 'Ice Cream', 'Desserts']",20000,32,32,32,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Veg Luv Bowl,277178,1,Koramangala,"['Indian', 'Desserts']",20000,32,32,32,Koramangala,50% off on all orders,Percentage,RESTAURANT,2800,
Yumlane Ice Creams & Desserts,266486,1,Kudlu Gate,"['Ice Cream', 'Desserts', 'Beverages']",20000,32,32,32,Kudlu Gate,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Stoned Monkey,27210,1,HSR,"['Ice Cream', 'Beverages', 'Juices', 'Desserts', 'Fast Food']",30000,32,32,32,27th Main,40% off on orders above ₹250,Percentage,RESTAURANT,2800,
King's Kitchen,45412,1,HSR,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']",20000,32,32,32,Koramangala,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Little Paradise,213573,1,HSR,"['Biryani', 'Chinese', 'Andhra', 'North Indian']",23000,32,32,32,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Punjabi Nukkad Pure Veg,55896,1,Kudlu Gate,"['Punjabi', 'North Indian', 'Chinese', 'Desserts']",25000,32,32,32,Harlur Main Road,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Edesia by Freshmenu,237468,1,HSR,"['Desserts', 'Bakery', 'Sweets']",15000,32,32,32,HSR 3rd Sector,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Udupi Palace,42294,1,HSR,"['Beverages', 'Biryani', 'Chinese', 'Desserts', 'North Indian', 'South Indian']",15000,32,32,32,HSR,20% off on orders above ₹149,Percentage,RESTAURANT,2800,
Rusbury Fresh Sweets and Savouries,128140,1,Kudlu Gate,"['Sweets', 'Desserts', 'Street Food', 'Chaat']",15000,32,32,32,ACES Layout,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Husband's Kitchen,76929,1,Bellandur Sarjapur,"['Chinese', 'North Indian', 'Fast Food', 'Punjabi']",35000,32,32,32,carmelaram,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Vms Star Biriyani,151386,1,Electronic City,['Fast Food'],25000,32,32,32,C K NAGAR,,,,2800,
BAWARCHI,279306,1,Kudlu Gate,['Indian'],20000,32,32,32,Kudlu Gate,,,,2500,
You Me And Tea,302189,1,HSR,"['Indian', 'Snacks', 'Chinese', 'Beverages']",30000,32,32,32,Sector 2,,,,2500,
Lassi Shop,28689,1,HSR,"['Beverages', 'Desserts', 'Snacks']",10000,32,32,32,24th main,,,,2800,
Hustle,203285,1,HSR,"['Continental', 'Indian']",40000,32,32,32,HSR,,,,2800,
Mustard Food Court,234011,1,HSR,"['Biryani', 'North Indian']",25000,32,32,32,HSR,,,,2800,
Bhartiya Jalpan,342032,1,HSR,"['Fast Food', 'Indian', 'Beverages']",45000,32,32,32,HSR,,,,2800,
gharwaalatiffin,208954,1,HSR,"['Chinese', 'Continental', 'Fast Food', 'Indian']",40000,32,32,32,HSR,,,,2800,
pasta de indifused,208962,1,HSR,"['Continental', 'Pastas']",30000,32,32,32,HSR,,,,2800,
big paratha house,210390,1,HSR,['North Indian'],30000,32,32,32,HSR,,,,2800,
The Biryani Experiment,219721,1,HSR,"['Mughlai', 'Biryani']",50000,33,33,33,"Link Rd, BDA Layout",60% off | Use DEAL60,Percentage,RESTAURANT,2500,
Faasos,210185,1,Kudlu Gate,"['Fast Food', 'North Indian']",50000,33,33,33,AECS Layout,60% off | Use DEAL60,Percentage,RESTAURANT,2500,
WarmOven Cake & Desserts,19627,1,Bellandur Sarjapur,"['Bakery', 'Desserts', 'Ice Cream']",20000,33,33,33,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Royale Rolls,280767,1,Koramangala,['Continental'],20000,33,33,33,Koramangala,50% off on all orders,Percentage,RESTAURANT,2800,
Bengali Aahar,285007,1,Kudlu Gate,"['Bengali', 'Snacks', 'Fast Food', 'Home Food', 'Biryani']",25000,33,33,33,Kudlu Gate,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
The Biryani Life,210199,1,Kudlu Gate,"['Biryani', 'Mughlai', 'Indian']",25000,33,33,33,AECS Layout,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Bowlsome,219699,1,HSR,"['Indian', 'North Indian', 'Desserts']",25000,33,33,33,"Link Rd, BDA Layout",50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
BalleLicious Kitchen,70039,1,Kudlu Gate,"['Punjabi', 'North Indian', 'Chinese', 'Mughlai', 'Desserts', 'Biryani']",25000,33,33,33,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Khichdi Experiment,184156,1,HSR,"['Home Food', 'Healthy Food', 'Indian']",25000,33,33,33,"Link Rd, BDA Layout",40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Jeni's Kitchen,147354,1,HSR,"['North Indian', 'Chinese']",25000,33,33,33,BOMMANAHALLI,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Bombay Kulfis,21162,1,HSR,"['Ice Cream', 'Desserts', 'Sweets']",10000,33,33,33,Sector 7,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
CakeZone,214485,1,Kudlu Gate,"['Desserts', 'Bakery', 'Ice Cream', 'Beverages']",20000,33,33,33,Kudlu Gate,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Paratha Experiment,254868,1,HSR,"['North Indian', 'Punjabi']",20000,33,33,33,"Link Rd, BDA Layout",30% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Ghar Ka Tadka,75478,1,HSR,"['North Indian', 'Home Food', 'South Indian']",40000,33,33,33,3rd Sector,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
The House of Basil Ginger,309695,1,HSR,['Chinese'],25000,33,33,33,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Donne Biriyani House,111247,1,HSR,['South Indian'],30000,33,33,33,3rd sector,20% off on orders above ₹120,Percentage,RESTAURANT,2800,
Sri Vishnu Grand Veg,58058,1,Bellandur Sarjapur,"['South Indian', 'Indian', 'Chinese']",25000,33,33,33,Sarjapur,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Fish & Fries,287,1,HSR,"['Seafood', 'Bengali', 'Thalis', 'Biryani', 'Continental', 'Indian', 'Fast Food', 'Steakhouse']",30000,33,33,33,Sector 2,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Simplee shawarma,262220,1,HSR,"['Indian', 'Arabian', 'Fast Food', 'Beverages', 'Italian', 'Lebanese']",16000,33,33,33,Sector 2,15% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Retro the vintage cafe,202111,1,Kudlu Gate,"['Beverages', 'Ice Cream', 'Snacks', 'Desserts', 'Bakery', 'Fast Food']",20000,33,33,33,Silver County Road,,,,2500,
Aligarh House,81642,1,Kudlu Gate,"['North Indian', 'Mughlai']",40000,33,33,33,HSR,,,,2500,
CHI-HE,319816,1,Kudlu Gate,"['Indian', 'Chinese']",50000,33,33,33,Kudlu Gate,,,,2500,
THE HOMESTYLE KITCHEN,338400,1,Kudlu Gate,['South Indian'],20000,33,33,33,Kudlu Gate,,,,2500,
Fries Box,244648,1,HSR,"['American', 'Continental']",25000,33,33,33,HSR,,,,2800,
Bobby's street food,261691,1,HSR,['Indian'],10000,33,33,33,HSR,,,,2800,
Cafe Mondo,20647,1,HSR,"['Italian', 'Chinese', 'Pizzas']",50000,33,33,33,HSR sector 1,,,,2800,
NATI STYLE DONNE BIRYANI,290612,1,HSR,['Biryani'],25000,34,34,34,HSR,₹50 off on orders above ₹249,Flat,RESTAURANT,2800,
Village Donne Biryani,290584,1,HSR,['Biryani'],26000,34,34,34,HSR,₹50 off on orders above ₹249,Flat,RESTAURANT,2800,
Paradise Biryani,233815,1,HSR,"['Biryani', 'Kebabs']",40000,34,34,34,Sector 4,60% off | Use DEAL60,Percentage,RESTAURANT,2800,
Kaati Zone Rolls and Wraps,503,1,Bellandur Sarjapur,"['Fast Food', 'Beverages', 'Bengali', 'Biryani', 'Indian', 'North Indian', 'Snacks', 'Street Food', 'Healthy Food']",15000,34,34,34,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Indiana Burgers,59797,1,Bellandur Sarjapur,"['American', 'Fast Food', 'Beverages', 'Healthy Food']",15000,34,34,34,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,
LunchBox,210200,1,Kudlu Gate,['North Indian'],30000,34,34,34,AECS Layout,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
NIC Natural Ice Creams,69138,1,HSR,"['Ice Cream', 'Desserts']",12000,34,34,34,15th A Main HSR Layout,50% off | Use SPECIALS,Percentage,RESTAURANT,2800,
Keventers - Milkshakes & Ice Cream,85162,1,HSR,"['Beverages', 'Ice Cream', 'Desserts', 'Healthy Food']",30000,34,34,34,1ST SECTOR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Thammudu Paaji,171752,1,Kudlu Gate,"['North Indian', 'Chinese', 'South Indian']",25000,34,34,34,Harlur,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
The Dessert Zone,277945,1,Bellandur Sarjapur,"['Desserts', 'Bakery', 'Ice Cream', 'American', 'British', 'Combo', 'Snacks', 'Beverages']",30000,34,34,34,Bellandur Sarjapur,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Kolkata Rolls & Fast food,73862,1,Kudlu Gate,"['Chinese', 'North Indian']",15000,34,34,34,Harlur road,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Lazy Bear,209240,1,Kudlu Gate,"['North Indian', 'Oriya', 'Chinese', 'Fast Food', 'Home Food']",25000,34,34,34,Harlur Road,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Shree Khana Khazana,17635,1,HSR,"['Indian', 'Rajasthani', 'North Indian', 'Punjabi', 'Beverages', 'Jain', 'Thalis', 'Combo']",35000,34,34,34,Sector 4,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Kapoor's Cafe,27746,1,HSR,['North Indian'],50000,34,34,34,HSR Sector 1,10% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Mughal Treat,5770,1,HSR,"['Arabian', 'Chinese']",40000,34,34,34,Sector 2,,,,2500,
JUMBO SANDWICH,337344,1,HSR,"['Continental', 'Beverages']",30000,34,34,34,HSR,,,,2800,
Bullet Biryani,313249,1,HSR,['Biryani'],28000,34,34,34,HSR,,,,2800,
Jamshedpur chats and golgappa,216876,1,HSR,"['North Indian', 'Chaat']",20000,34,34,34,HSR Layout,,,,2800,
Hotel SD STAR DUM BIRIYANI,331476,1,Kudlu Gate,"['Biryani', 'Kebabs']",28000,34,34,34,Kudlu Gate,,,,2800,
McCafe by McDonald's,192273,1,HSR,"['Cafe', 'Beverages', 'Desserts']",25000,34,34,34,HSR Layout,,,,2800,
Pure Andhra Style Reddy's Restaurant,65668,1,Bellandur Sarjapur,"['Chinese', 'South Indian', 'North Indian', 'Fast Food', 'Andhra', 'Beverages', 'Mughlai', 'Seafood', 'Punjabi', 'Hyderabadi']",50000,34,34,34,Sarjapur,,,,2800,
Bengali Rannaghor,312906,1,Kudlu Gate,"['Bengali', 'Home Food', 'Indian', 'Thalis']",30000,35,35,35,Kudlu Gate,60% off | Use DEAL60,Percentage,RESTAURANT,2700,
Wakeup Cafe,156553,1,HSR,"['Fast Food', 'Beverages', 'Juices', 'Ice Cream']",10000,35,35,35,HSR Layout,50% off on all orders,Percentage,RESTAURANT,2800,
Bowl 99,329428,1,HSR,['Indian'],25000,35,35,35,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
The Veggie Thali,277179,1,HSR,['Indian'],20000,35,35,35,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Shahenshah Biryani,259375,1,HSR,['Biryani'],40000,35,35,35,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
The Daily Diner,305833,1,HSR,"['North Indian', 'Indian', 'Beverages', 'Home Food', 'Combo', 'Healthy Food', 'South Indian']",25000,35,35,35,"Link Rd, BDA Layout",50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
"THE KOLKATTA	CUISINE",301675,1,Kudlu Gate,"['Bengali', 'Chaat', 'Snacks']",20000,35,35,35,Kudlu Gate,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Big Biriyani Company,237522,1,HSR,"['Biryani', 'Mughlai']",35000,35,35,35,HSR 3rd Sector,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Burger It Up,238142,1,Bellandur Sarjapur,"['Continental', 'American', 'Desserts', 'Fast Food', 'Beverages', 'Snacks']",40000,35,35,35,Bellandur Sarjapur,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
99 Variety Dosa and Pav Bhaji,183763,1,HSR,"['South Indian', 'Snacks', 'Fast Food']",20000,35,35,35,"HSR,18TH CROSS HSR LAYOUT 3RD SECTOR",30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Nashta Express,280576,1,HSR,"['Home Food', 'Healthy Food', 'Indian']",20000,35,35,35,"Link Rd, BDA Layout",30% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Bathinda Junction,22052,1,HSR,"['Punjabi', 'North Indian', 'Biryani']",25000,35,35,35,24th Main,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Riddhi Food Grand,235238,1,Bellandur Sarjapur,"['Indian', 'Chinese', 'Tandoor', 'Biryani', 'North Indian']",14900,35,35,35,Kasavanahalli Main Road,25% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
ABSOLUTE RICE BOWL FACTORY,266418,1,Bellandur Sarjapur,"['Indian', 'North Indian', 'Chinese', 'Beverages', 'Juices', 'Desserts']",14900,35,35,35,kasavanahalli main road,25% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Deccan Biryani House,286428,1,HSR,"['Biryani', 'South Indian', 'Hyderabadi', 'Coastal', 'Desserts', 'Combo', 'Fast Food', 'Kerala', 'Sri Lankan', 'Chettinad']",35000,35,35,35,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
The Belgian Waffle Co.,47864,1,HSR,"['Desserts', 'Beverages']",20000,35,35,35,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Tea House,235158,1,HSR,['Indian'],20000,35,35,35,HSR,15% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Mani's Dum Biryani,170045,1,Arekere,['Indian'],48300,35,35,35,Lakshmi Layout Road,10% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
BENGALI EXPERIMENTS,338930,1,Kudlu Gate,"['Sweets', 'Snacks', 'Chaat', 'Bengali']",25000,35,35,35,Kudlu Gate,,,,2500,
Halli Mane Badoota,110421,1,Kudlu Gate,"['South Indian', 'North Indian', 'Seafood']",25000,35,35,35,AECS MAIN ROAD,,,,2500,
Idli Master,314260,1,Kudlu Gate,"['South Indian', 'Chinese']",18000,35,35,35,Kudlu Gate,,,,2500,
 OliveU.Fit,304164,1,HSR,['Beverages'],30000,35,35,35,HSR,,,,2800,
The Urban Gully,242390,1,HSR,"['Indian', 'Tandoor', 'Chinese', 'Fast Food', 'Beverages']",40000,35,35,35,HSR,,,,2800,
Udupi Aramane,241191,1,HSR,['Indian'],25000,35,35,35,"Mangammanapalya Main Rd, Sector 7",,,,2800,
Travancore Kitchen,120919,1,Bellandur Sarjapur,"['South Indian', 'Kerala', 'Seafood']",25000,35,35,35,Bellandur/Sarjapur,,,,2800,
SRI BANASHANKARI DONNE BIRIYANI,335584,1,Kudlu Gate,"['North Indian', 'Chinese']",20000,35,35,35,Kudlu Gate,,,,2800,
Madurai Veg Kitchen,105862,1,Bellandur Sarjapur,"['North Indian', 'South Indian', 'Chinese']",15000,35,35,35,NR Layout Road,,,,4000,
Yumlane Pizza,239375,1,Electronic City,"['Pizzas', 'Desserts', 'Ice Cream', 'Beverages', 'Italian']",30000,36,36,36,Electronic City,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Crazy Bao,312286,1,Bellandur Sarjapur,"['Chinese', 'Pan-Asian', 'Asian', 'Snacks', 'Beverages']",20000,36,36,36,Bellandur Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,2800,
Smoodies,110402,1,HSR,"['Beverages', 'Healthy Food']",14000,36,36,36,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,0,
The Golden Thali,213932,1,HSR,"['Indian', 'North Indian']",20000,36,36,36,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Maggie's Kitchen,277433,1,HSR,['North Indian'],20000,36,36,36,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Gourmet Pizzas By Yumlane,251838,1,Kudlu Gate,"['Pizzas', 'Desserts', 'Ice Cream', 'Beverages', 'Italian']",35000,36,36,36,Kudlu Gate,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
"FROST	&	FEATHER",280283,1,HSR,"['Pizzas', 'Beverages', 'Ice Cream', 'American', 'Continental', 'Desserts']",30000,36,36,36,HSR,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
AUNTIE FUNG'S,308588,1,Bellandur Sarjapur,"['Asian', 'Chinese', 'Thai']",50000,36,36,36,Bellandur Sarjapur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Mera Wala Paratha,243963,1,Bellandur Sarjapur,['North Indian'],40000,36,36,36,Bellandur Sarjapur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Adiga's,381,1,HSR,"['South Indian', 'North Indian', 'Chinese', 'Thalis', 'Fast Food', 'Juices', 'Desserts']",20000,36,36,36,7th Sector,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Natural Ice Creams Mow,337531,1,Bellandur Sarjapur,"['Ice Cream', 'Desserts']",12000,36,36,36,Bellandur Sarjapur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,
Dilli to Dakshin,178374,1,HSR,['North Indian'],30000,36,36,36,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
South Briyani kitchen,335588,1,HSR,['Indian'],35000,36,36,36,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Wandercrust,179460,1,HSR,"['Pizzas', 'Italian']",35000,36,36,36,HSR 3rd Sector,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Green Cravings,197762,1,HSR,"['Healthy Food', 'Continental', 'Keto', 'Indian', 'Salads']",35000,36,36,36,HSR 3rd Sector,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Night Fox,69729,1,Electronic City,"['Chinese', 'South Indian', 'North Indian', 'Desserts', 'Fast Food', 'Andhra', 'Beverages', 'Mughlai', 'Seafood', 'Punjabi', 'Hyderabadi']",30000,36,36,36,Singasandra,30% off on orders above ₹189,Percentage,RESTAURANT,2500,
Shudh Desi Bhukkad,317882,1,Kudlu Gate,['Chinese'],30000,36,36,36,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
SO-BUR,334606,1,Kudlu Gate,"['American', 'Continental', 'Fast Food']",40000,36,36,36,Kudlu Gate,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Sweet Truth,210192,1,Kudlu Gate,['Desserts'],50000,36,36,36,AECS Layout,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
