name,rest_id,city,area,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
Yum In My Tum,107301,1,BTM,"['Chinese', 'Continental', 'Beverages', 'Pizzas', 'Italian', 'Healthy Food', 'North Indian', 'Fast Food', 'Pastas', 'Desserts', 'Tibetan']",20000,56,56,56,2nd Stage,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Pepe's Pizza,332831,1,HSR,"['Pizzas', 'Italian', 'Healthy Food', 'Combo', 'Continental', 'American']",30000,56,56,56,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Paaji Paratha! Breakfast Special,314867,1,Electronic City,"['Punjabi', 'North Indian', 'Fast Food', 'Snacks', 'Beverages']",35000,56,56,56,Electronic City,40% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,
Potful - Claypot Biryanis,49706,1,Bellandur Sarjapur,"['Biryani', 'Mughlai', 'Kebabs', 'North Indian']",50000,56,56,56,Kaikondarahalli,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Sharma's Kitchen (Rajasthani Home Food),185111,1,BTM,['North Indian'],20000,56,56,56,BTM Layout,20% off on orders above ₹159,Percentage,RESTAURANT,5000,
THE TASTE OF TANDOORI,256422,1,Electronic City,"['Tandoor', 'Chinese', 'Combo', 'Fast Food', 'North Indian', 'Indian']",30000,56,56,56,Narayan reddy layout,20% off on all orders,Percentage,RESTAURANT,5000,
World of asia,94724,1,BTM,"['Beverages', 'Chinese']",25000,56,56,56,BTM,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Chaat Street,255436,1,BTM,"['Fast Food', 'Snacks', 'Chaat', 'Street Food', 'Beverages', 'Combo', 'North Indian', 'Indian', 'Maharashtrian', 'Rajasthani']",15000,56,56,56,Btm,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Fishing Boat,19651,1,Electronic City,"['Indian', 'Chinese', 'Biryani', 'Tandoor', 'North Indian', 'Seafood', 'Desserts']",35000,56,56,56,Opp Symbiosis Institute,20% off | Use JUMBO,Percentage,RESTAURANT,6000,
Satkar restaurant,39175,1,Electronic City,"['Chinese', 'North Indian']",20000,56,56,56,electronic city,15% off on orders above ₹99,Percentage,RESTAURANT,5000,
NoCo Kitchen,201216,1,Bellandur Sarjapur,"['Beverages', 'Chinese', 'North Indian', 'Snacks']",45000,56,56,56,Carmelaram,,,,4000,
Only Maggi,192188,1,Electronic City,"['Fast Food', 'North Indian']",20000,56,56,56,Electronic City,,,,6000,
Delhi Wala Paratha,230443,1,BTM,['North Indian'],20000,56,56,56,9th D Main Cross,,,,6000,
Udta Punjab Kitchen,224634,1,BTM,"['North Indian', 'Chinese']",15000,56,56,56,9th D Main Cross,,,,6000,
Burger Zone,226600,1,Electronic City,['Fast Food'],30000,57,57,57,Electronic City,40% off on all orders,Percentage,RESTAURANT,5000,
Ambara Gardenia,36451,1,Arekere,"['Chinese', 'North Indian', 'Andhra', 'Tandoor']",30000,57,57,57,Vijaya Bank Colony,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Biryani Crafts,231499,1,BTM,"['Biryani', 'North Indian', 'Chinese', 'Tandoor', 'Indian']",25000,57,57,57,BTM,30% off on all orders,Percentage,RESTAURANT,6000,
Abiruchi Restaurant,325734,1,Electronic City,"['Andhra', 'North Indian', 'Chinese', 'South Indian']",25000,57,57,57,Electronic City,30% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
New Punjabi Food Corner,25308,1,Electronic City,['North Indian'],30000,57,57,57,phase 2,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Sitara Veg,19649,1,Electronic City,"['South Indian', 'North Indian', 'Chinese', 'Chaat', 'Desserts', 'Tandoor']",20000,57,57,57,Opp Symbiosis Institute,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Indian Grill House,230758,1,Electronic City,"['Indian', 'North Indian', 'Seafood', 'Tandoor']",37500,58,58,58,Electronic City,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
99 Variety Dosa and Pav Bhaji,233145,1,BTM,['Chinese'],30000,58,58,58,"SARJAPURA ROAD, KASAVANAHALLI",30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Samosa House,240894,1,BTM,"['Indian', 'North Indian', 'Fast Food']",30000,58,58,58,BTM,30% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
C. K. Mega Hot Food,56713,1,BTM,['Chinese'],35000,58,58,58,BTM,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Boston Barista - Kappayum Curriyum,32731,1,BTM,"['Kerala', 'South Indian']",18000,58,58,58,taverekare,20% off on orders above ₹300,Percentage,RESTAURANT,0,
Popular Burger,140078,1,Electronic City,['Fast Food'],15000,58,58,58,Electronic City,20% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Thottathil Restaurant,40098,1,BTM,['South Indian'],20000,58,58,58,Maruthi Nagar,,,,6000,
Budapest Bake Inn,206489,1,BTM,"['Desserts', 'Ice Cream', 'Snacks', 'Fast Food']",35000,59,59,59,BTM,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,
Kitchens of China,124198,1,Electronic City,"['Chinese', 'Combo', 'Asian']",35000,59,59,59,Electronic City,50% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Voosh Chai Samosa,327346,1,BTM,"['Beverages', 'Snacks', 'North Indian']",20000,59,59,59,BTM,50% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Kitchens of Punjab,94369,1,Electronic City,"['North Indian', 'Punjabi', 'Mughlai']",40000,59,59,59,Neeladri Road,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Hyderabad Darbar,74160,1,Electronic City,"['Chinese', 'South Indian', 'North Indian', 'Andhra', 'Beverages', 'Mughlai', 'Hyderabadi']",30000,59,59,59,Phase2,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Garden Fresh,31007,1,BTM,"['Beverages', 'Juices', 'Salads']",12000,59,59,59,"M.C.H.S Colony, B.T.M STAGE 2",40% off | Use HEALTHHUB,Percentage,RESTAURANT,0,
