name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link,slug
S S popular frozen stone,129552,1,Bellandur Sarjapur,3.8,"['Ice Cream', 'Beverages', 'Juices']",20000,46,46,46,Bellandur Sarjapur,Free delight on orders above ₹199,Freebie,RESTAURANT,4700,,s-s-popular-frozen-stone-bellandur-sarjapur
Biriyan,297429,1,HSR,4.3,['Indian'],26000,50,50,50,Periamet,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2500,,biriyan-hsr-hsr
Slurpy Shakes,59615,1,Bellandur Sarjapur,--,"['Beverages', 'Ice Cream', 'Desserts']",20000,31,31,31,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,slurpy-shake-rjapur-main-rd-kaikondrahalli-bellandursarjapur
Omleterian,255163,1,Kudlu Gate,--,"['American', 'British', 'Continental']",35000,44,44,44,Kudlu Gate,60% off | Use DEAL60,Percentage,RESTAURANT,2500,,omleterian-kudlu-gate-kudlu-gate
Susie's Burgers,215410,1,HSR,--,"['American', 'Fast Food']",30000,38,38,38,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,2500,,susie's-burgers-hsr-hsr
WarmOven Cake & Desserts,19627,1,Bellandur Sarjapur,4.3,"['Bakery', 'Desserts', 'Ice Cream']",20000,35,35,35,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,warm-oven-dodsworth-layout-whitefield
Smoodies,110402,1,HSR,4.3,"['Beverages', 'Healthy Food']",14000,35,35,35,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,0,,smoodies-marathahalli
Kaati Zone Rolls and Wraps,503,1,Bellandur Sarjapur,4.2,"['Fast Food', 'Beverages', 'Bengali', 'Biryani', 'Indian', 'North Indian', 'Snacks', 'Street Food', 'Healthy Food']",15000,32,32,32,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,kaati-zone-bellandur-gate-bellandursarjapur
Cupcake Bliss Cakes & Desserts,60657,1,Bellandur Sarjapur,4.2,"['Desserts', 'Ice Cream', 'Bakery', 'American', 'British', 'Combo', 'Snacks']",19900,34,34,34,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,cupcake-bliss-kaikondrahalli-bellandursarjapur
Indiana Burgers,59797,1,Bellandur Sarjapur,4.2,"['American', 'Fast Food', 'Beverages', 'Healthy Food']",15000,31,31,31,Bellandur/Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,indiana-burgers-kaikondrahalli-bellandursarjapur
Paratha Experiment,254868,1,HSR,4.1,"['North Indian', 'Punjabi']",20000,32,32,32,"Link Rd, BDA Layout",60% off | Use DEAL60,Percentage,RESTAURANT,2200,,paratha-experiment-link-rd-bda-layout-hsr
Sundae Everyday Ice Creams,255298,1,Bellandur Sarjapur,4.1,"['Desserts', 'Ice Cream']",20000,31,31,31,Bellandur Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,,sundae-everyday-bellandur-sarjapur-bellandur-sarjapur
Samosa Singh,249638,1,Electronic City,4,"['Fast Food', 'Street Food', 'North Indian', 'Beverages']",10000,48,48,48,Electronic City,60% off | Use DEAL60,Percentage,RESTAURANT,3700,,samosa-singh-electronic-city-electronic-city-3
Healthful,310683,1,Kudlu Gate,3.8,"['Continental', 'Indian', 'Oriental', 'Healthy Food', 'Pan-Asian', 'Home Food', 'North Indian', 'Chinese', 'Desserts', 'Salads']",25000,30,30,30,Kudlu Gate,60% off | Use DEAL60,Percentage,RESTAURANT,0,,food-street-kudlu-gate-kudlu-gate
Omleterian,167422,1,Electronic City,3.7,['American'],30000,63,63,63,Neeladri Nagar,60% off | Use DEAL60,Percentage,RESTAURANT,5700,,omleterian-electronic-city
GHAR WALA KHANA,302418,1,Kudlu Gate,--,['Indian'],14900,29,29,29,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,,ghar-wala-khana-kudlu-gate-kudlu-gate
PUNJAB TIME,302416,1,Kudlu Gate,--,"['Punjabi', 'North Indian']",9900,44,44,44,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,,punjab-time-kudlu-gate-kudlu-gate
CHOLE BHATURA AND PARATHAS,302429,1,Kudlu Gate,--,"['Indian', 'Chinese']",15000,35,35,35,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,,chole-bhatura-and-parathas-kudlu-gate-kudlu-gate
Sabzi Aur Roti,302428,1,Kudlu Gate,--,['Indian'],15000,33,33,33,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,,sabzi-aur-roti-kudlu-gate-kudlu-gate
