name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link,slug
Bombay Kulfis,40671,1,HSR,--,"['Desserts', 'Ice Cream', 'Sweets']",10000,25,25,25,"Sector 2, HSR",Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,,bombay-kulfis-hsr-harlur-road-hsr
Cholo Jai Kolkata,188139,1,Bellandur Sarjapur,3.7,['Bengali'],30000,57,57,57,Bellandur Sarjapur,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,,cholo-jai-kolkata-bellandur-sarjapur-bellandur-sarjapur
Truffles,47603,1,Bellandur Sarjapur,4.4,"['American', 'Beverages', 'Cafe', 'Continental', 'Desserts', 'Italian']",45000,50,50,50,Green Glen Layout,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,,truffles-bellandur-bellandursarjapur
Budapest Bake Inn,206489,1,BTM,3.7,"['Desserts', 'Ice Cream', 'Snacks', 'Fast Food']",35000,58,58,58,BTM,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,,budapest-bake-inn-btm-btm-2
Magadhi Mewa,151024,1,Kudlu Gate,4.1,"['Chaat', 'Sweets', 'Snacks', 'Desserts', 'Street Food', 'North Indian']",15000,25,25,25,Kudlu Gate,Free delight on orders above ₹675,Freebie,RESTAURANT,2300,,magadhi-mewa-kudlu-gate
S S popular frozen stone,129552,1,Bellandur Sarjapur,3.8,"['Ice Cream', 'Beverages', 'Juices']",20000,46,46,46,Bellandur Sarjapur,Free delight on orders above ₹199,Freebie,RESTAURANT,4800,,s-s-popular-frozen-stone-bellandur-sarjapur
Onesta,336826,1,HSR,3.6,"['Italian', 'Desserts', 'Pizzas']",20000,39,39,39,"1st Sector, HSR",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2600,,onesta-4-1st-sector-hsr-hsr
Siro's Grillhouse,333442,1,HSR,--,"['Arabian', 'Turkish', 'Biryani', 'Juices']",25000,27,27,27,HSR,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2300,,siro's-grillhouse-hsr-hsr
Kitchen Boy,238069,1,Bellandur Sarjapur,4.6,"['North Indian', 'Punjabi', 'Fast Food']",20000,34,34,34,Sarjapur Main Rd,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2600,,kitchen-boy-sarjapur-(do-not-use)-sarjapur-(do-not-use)
TFA The Food Adda,129046,1,HSR,4.1,"['Fast Food', 'North Indian', 'Chinese']",35000,37,37,37,"Sector 2, HSR Layout",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2600,,tfa-the-food-adda-btm
Omleterian,255163,1,Kudlu Gate,--,"['American', 'British', 'Continental']",35000,41,41,41,Kudlu Gate,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2600,,omleterian-kudlu-gate-kudlu-gate
Burger on Demand,153724,1,Arekere,--,['Beverages'],20000,36,36,36,Bannerghata Road,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2600,,juannos-shake-the-shake-whitefield
Foodies,231174,1,HSR,3.5,"['Chinese', 'North Indian', 'Punjabi', 'Tandoor']",25000,45,45,45,Koramangala,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,3800,,foodies-koramangala-koramangala
