name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link,slug
BOWLSS OF BLISS,319078,1,HSR,5.0,['Ice Cream'],200.0,24,24,24,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,23.0,,bowlss-of-bliss-hsr-hsr
Magadhi Mewa,151024,1,Kudlu Gate,4.0,"['Chaat', 'Sweets', 'Snacks', 'Desserts', 'Street Food', 'North Indian']",150.0,22,22,22,Kudlu Gate,Free delight on orders above ₹675,Freebie,RESTAURANT,23.0,,magadhi-mewa-kudlu-gate
Madurai Idly Shop,264384,1,HSR,3.7,"['South Indian', 'Chinese', 'North Indian']",200.0,22,22,22,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,madurai-idly-shop-btm-btm
The Lakefront Kitchen,132550,1,Kudlu Gate,3.6,"['Indian', 'Chinese', 'Tandoor', 'Grill']",220.0,40,40,40,Central Jail Road,,,,26.0,,the-lakefront-kitchen-central-jail-road-bellandur-sarjapur
Retro the vintage cafe,202111,1,Kudlu Gate,4.5,"['Beverages', 'Ice Cream', 'Snacks', 'Desserts', 'Bakery', 'Fast Food']",200.0,33,33,33,Silver County Road,,,,23.0,,retro-the-vintage-cafe-kudlu-gate-kudlu-gate
Singh Da Pind,294144,1,HSR,4.1,"['Punjabi', 'North Indian', 'Chinese', 'Mughlai']",400.0,29,29,29,HSR Layout,30% off | Use SWIGGYIT,Percentage,RESTAURANT,23.0,,singh-da-pind-kudlu-gate-kudlu-gate
Delite Chaat House,151228,1,Bellandur Sarjapur,4.0,"['Gujarati', 'Fast Food', 'Street Food', 'Indian', 'North Indian', 'Maharashtrian', 'Rajasthani']",120.0,31,31,31,Bellandur/Sarjapur,10% off on all orders,Percentage,RESTAURANT,26.0,,delite-chaat-house-bellandur-sarjapur
Punjabi Nawabi,38008,1,Kudlu Gate,4.1,"['Punjabi', 'North Indian', 'Indian', 'Chinese', 'Biryani']",400.0,25,25,25,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,punjabi-nawabi-hsr-hsr
Five star chicken,263375,1,HSR,4.1,"['American', 'Asian', 'Beverages']",130.0,31,31,31,HSR,40% off on all orders,Percentage,RESTAURANT,23.0,,five-star-chicken-hsr-hsr
Little Paradise,213573,1,HSR,3.7,"['Biryani', 'Chinese', 'Andhra', 'North Indian']",230.0,30,30,30,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,little-paradise-hsr-hsr
CakeZone,214485,1,Kudlu Gate,4.3,"['Desserts', 'Bakery', 'Ice Cream', 'Beverages']",200.0,20,20,20,Kudlu Gate,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,cakezone-kudlu-gate-kudlu-gate
The Farmer's Son,202176,1,Kudlu Gate,--,"['Beverages', 'Juices', 'Healthy Food']",200.0,22,22,22,"Haralur Road, Kudlu Rd",25% off | Use SWIGGYIT,Percentage,RESTAURANT,23.0,,the-farmers-son-new-area-test-prod-area-2
Cafe Soy,198233,1,HSR,4.2,"['Chinese', 'Pan-Asian']",450.0,39,39,39,Bellandur Sarjapur,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,cafe-soy-bellandur-sarjapur-bellandur-sarjapur
Embassy Dhaba,254401,1,Kudlu Gate,--,['Indian'],300.0,22,22,22,Kudlu Gate,,,,23.0,,embassy-dhaba-kudlu-gate-kudlu-gate
Khichadi Club,340889,1,HSR,--,['Home Food'],250.0,42,42,42,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,26.0,,one-dollar-khichdi-hsr-hsr
WarmOven Cake & Desserts,27996,1,HSR,4.2,"['Bakery', 'Desserts', 'Ice Cream']",200.0,36,36,36,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,warm-oven-hsr-hsr
Kolkata Rolls & Fast food,73862,1,Kudlu Gate,3.5,"['Chinese', 'North Indian']",150.0,25,25,25,Harlur road,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,kolkata-rolls-fast-food-hsr-hsr
NH8,142463,1,Kudlu Gate,--,"['North Indian', 'Rajasthani', 'Chaat']",200.0,29,29,29,Haralur Road,,,,23.0,,nh8-hsr
Rang De Basanti Dhaba,100440,1,Bellandur Sarjapur,4.0,"['North Indian', 'Punjabi', 'Combo', 'Tandoor', 'Mughlai', 'Desserts', 'Thalis', 'Indian']",300.0,46,46,46,Bellandur,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,rang-de-basanti-delivers-bellandursarjapur
The Roll Pod!,275401,1,Kudlu Gate,4.1,"['Fast Food', 'Snacks', 'Healthy Food', 'Street Food', 'Beverages']",250.0,29,29,29,Kudlu Gate,40% off | Use SWIGGYIT,Percentage,RESTAURANT,23.0,,it's-all-about-rolls-kudlu-gate-kudlu-gate
AHA-ABSOLUTE HYDERABADI AROMAS,326861,1,Kudlu Gate,3.9,['Biryani'],300.0,35,35,35,Kudlu Gate,25% off | Use SWIGGYIT,Percentage,RESTAURANT,23.0,,aha-absolute-hyderabadi-aromas-kudlu-gate-kudlu-gate
Samosa Party,81645,1,Bellandur Sarjapur,4.4,"['Fast Food', 'Snacks', 'Street Food', 'Chaat', 'Beverages', 'North Indian']",100.0,40,40,40,"Amba bajaj showroom, Bellandur Gate rd",20% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,samosa-party-bellandur-bellandursarjapur
Sree Krishna Kafe,187415,1,Kudlu Gate,4.4,['South Indian'],250.0,24,24,24,HSR EXTENSION,,,,23.0,,sree-krishna-kafe-hsr-hsr
Meal Singh,268323,1,Kudlu Gate,4.1,"['Healthy Food', 'Home Food', 'Indian', 'Thalis', 'Combo']",250.0,30,30,30,Kudlu Gate,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,meal-singh-kudlu-gate-kudlu-gate
Polar Bear,159251,1,Kudlu Gate,4.6,['Desserts'],300.0,19,19,19,Haralur,,,,23.0,,polar-bear-bellandur-sarjapur
Biryani Rooh-e-Khaas,151050,1,Kudlu Gate,--,"['Mughlai', 'Biryani']",300.0,29,29,29,HSR Layout,,,,23.0,,biryani-rooh-e-khaas-hsr
Yumlane Pizza,118541,1,Bellandur Sarjapur,3.7,"['Pizzas', 'Desserts', 'Ice Cream', 'Beverages', 'Italian']",300.0,32,32,32,Kasavanahalli,60% off | Use DEAL60,Percentage,RESTAURANT,0.0,,yumlane-pizza-kasavanahalli-bellandursarjapur
Punjabi Unplugged,151047,1,Kudlu Gate,4.1,"['North Indian', 'Chinese', 'Indian', 'Mughlai', 'Biryani']",300.0,24,24,24,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,punjabi-unplugged-hsr
Sardarji Londonwaley,151043,1,Kudlu Gate,4.1,"['North Indian', 'Chinese', 'Indian', 'Mughlai', 'Biryani']",300.0,27,27,27,Arekere,60% off | Use DEAL60,Percentage,RESTAURANT,0.0,,sardarji-londonwaley-hsr-2
Kebab-E-Sultanat,317766,1,HSR,--,"['Awadhi', 'Mughlai', 'North Indian']",400.0,21,21,21,HSR,,,,23.0,,kebab-e-sultanat-hsr-hsr
City of Combos!,332166,1,HSR,--,['North Indian'],300.0,21,21,21,Kudlu Gate,,,,23.0,,city-of-combos!-kudlu-gate-kudlu-gate
Lazy Bear,209240,1,Kudlu Gate,4.0,"['North Indian', 'Oriya', 'Chinese', 'Fast Food', 'Home Food']",250.0,33,33,33,Harlur Road,20% off | Use SWIGGYIT,Percentage,RESTAURANT,23.0,,lazy-bear-bellandur-sarjapur-bellandur-sarjapur
Lassi Cafe,117980,1,Kudlu Gate,4.2,"['North Indian', 'Desserts', 'Fast Food', 'Beverages']",250.0,33,33,33,Harlur,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,lassi-cafe-kudlu_gate
Punjabi Nukkad Pure Veg,55896,1,Kudlu Gate,4.1,"['Punjabi', 'North Indian', 'Chinese', 'Desserts']",250.0,29,29,29,Harlur Main Road,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0.0,,punjabi-nukkad-hsr-hsr
LeanCrust Pizza,313460,1,HSR,--,"['Pizzas', 'Italian', 'Healthy Food']",350.0,28,28,28,Harlur Road,60% off | Use DEAL60,Percentage,RESTAURANT,23.0,,leancrust-pizza-harlur-road-hsr
MEALFUL WRAPS,274772,1,HSR,--,"['Fast Food', 'North Indian', 'Desserts', 'Snacks', 'Indian']",250.0,27,27,27,Harlur Road,60% off | Use DEAL60,Percentage,RESTAURANT,23.0,,mealful-wraps-meals-in-a-wrap-harlur-road-hsr
Itminaan Biryani - Dum Pukht,313595,1,HSR,4.3,"['Biryani', 'North Indian', 'Mughlai']",400.0,29,29,29,Harlur Road,60% off | Use DEAL60,Percentage,RESTAURANT,23.0,,itminaan-dum-pukht-biryani-harlur-road-hsr
Istah Shawarma and Biryani,293027,1,Kudlu Gate,4.3,"['Biryani', 'Arabian', 'Lebanese']",250.0,29,29,29,MICRO LABS BOMMANAHALLI,20% off | Use SWIGGYIT,Percentage,RESTAURANT,23.0,,istah-shawarma-and-biryani-kudlu-gate-kudlu-gate
